name,party
"Alexander, L. (TN-R)",1
"Boxer, B. (CA-D)",2
"Cantwell, M. (WA-D)",2
"Carper, T. (DE-D)",2
"Cochran, T. (MS-R)",1
"Collins, S. (ME-R)",1
"Cornyn, J. (TX-R)",1
"Crapo, M. (ID-R)",1
"Durbin, R. (IL-D)",2
"Enzi, M. (WY-R)",1
"Feinstein, D. (CA-D)",2
"Graham, L. (SC-R)",1
"Grassley, C. (IA-R)",1
"Hatch, O. (UT-R)",1
"Inhofe, J. (OK-R)",1
"Leahy, P. (VT-D)",2
"McCain, J. (AZ-R)",1
"McConnell, M. (KY-R)",1
"Mikulski, B. (MD-D)",2
"Murkowski, L. (AK-R)",1
"Murray, P. (WA-D)",2
"Nelson, B. (FL-D)",2
"Reed, J. (RI-D)",2
"Reid, H. (NV-D)",2
"Roberts, P. (KS-R)",1
"Schumer, C. (NY-D)",2
"Sessions, J. (AL-R)",1
"Shelby, R. (AL-R)",1
"Stabenow, D. (MI-D)",2
"Wyden, R. (OR-D)",2
"Baldwin, T. (WI-D)",2
"Blunt, R. (MO-R)",1
"Boozman, J. (AR-R)",1
"Brown, S. (OH-D)",2
"Burr, R. (NC-R)",1
"Capito, S. (WV-R)",1
"Cardin, B. (MD-D)",2
"Flake, J. (AZ-R)",1
"Isakson, J. (GA-R)",1
"Kirk, M. (IL-R)",1
"Markey, E. (MA-D)",2
"Menéndez, R. (NJ-D)",2
"Moran, J. (KS-R)",1
"Portman, R. (OH-R)",1
"Sanders, B. (VT-I)",3
"Toomey, P. (PA-R)",1
"Udall, T. (NM-D)",2
"Vitter, D. (LA-R)",1
"Wicker, R. (MS-R)",1
"Thune, J. (SD-R)",1
"Coats, D. (IN-R)",1
"Murphy, C. (CT-D)",2
"Hirono, M. (HI-D)",2
"Donnelly, J. (IN-D)",2
"Heller, D. (NV-R)",1
"Gillibrand, K. (NY-D)",2
"Klobuchar, A. (MN-D)",2
"McCaskill, C. (MO-D)",2
"Tester, J. (MT-D)",2
"Casey, R. (PA-D)",2
"Whitehouse, S. (RI-D)",2
"Corker, B. (TN-R)",1
"Barrasso, J. (WY-R)",1
"Cassidy, B. (LA-R)",1
"Heinrich, M. (NM-D)",2
"Peters, G. (MI-D)",2
"Warner, M. (VA-D)",2
"Risch, J. (ID-R)",1
"Shaheen, J. (NH-D)",2
"Merkley, J. (OR-D)",2
"Bennet, M. (CO-D)",2
"Franken, A. (MN-D)",2
"Coons, C. (DE-D)",2
"Manchin, J. (WV-D)",2
"Gardner, C. (CO-R)",1
"Lankford, J. (OK-R)",1
"Scott, T. (SC-R)",1
"Blumenthal, R. (CT-D)",2
"Rubio, M. (FL-R)",1
"Paul, R. (KY-R)",1
"Ayotte, K. (NH-R)",1
"Hoeven, J. (ND-R)",1
"Lee, M. (UT-R)",1
"Johnson, R. (WI-R)",1
"Schatz, B. (HI-D)",2
"Cotton, T. (AR-R)",1
"Warren, E. (MA-D)",2
"King, A. (ME-I)",3
"Daines, S. (MT-R)",1
"Heitkamp, H. (ND-D)",2
"Fischer, D. (NE-R)",1
"Cruz, T. (TX-R)",1
"Kaine, T. (VA-D)",2
"Booker, C. (NJ-D)",2
"Sullivan, D. (AK-R)",1
"Perdue, D. (GA-R)",1
"Ernst, J. (IA-R)",1
"Tillis, T. (NC-R)",1
"Rounds, M. (SD-R)",1
"Sasse, B. (NE-R)",1