Source,Target,Type,Id,Label,timeset,Weight
UCYE61Gy3RxiI2hSdCmAgP9w,UClvD6c1VI75QZWJjA_yiWhg,Directed,6203,,,1
UCFpuO2wt_3WSrk-QG7VjUhQ,UC2C_jShtL725hvbm1arSV9w,Directed,6550,,,1
UCqxZhJewxqhB4cNsxJFjIhg,UClvD6c1VI75QZWJjA_yiWhg,Directed,8470,,,1
UCWNbidLi4FXBd83ixoB1v-A,UClvD6c1VI75QZWJjA_yiWhg,Directed,8736,,,1
UCShSHheWVd42CdiVAYn-9xQ,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,8786,,,1
UCNMbegBD9OjH4Eza8vVjBMg,UCFWjEwhX6cSAKBQ28pufG3w,Directed,9003,,,1
UC8zZkogm0hU7_zifdxSQa0Q,UCK09g6gYGMvU-0x1VCF1hgA,Directed,9434,,,1
UCm5GjhNnQUcMNgcO1lC0vTQ,UClvD6c1VI75QZWJjA_yiWhg,Directed,10196,,,1
UCm5GjhNnQUcMNgcO1lC0vTQ,UCwnKziETDbHJtx78nIkfYug,Directed,10217,,,1
UCRVDpYNhA8zvVmBee_ium3g,UCbWJBeGBPPealdWVLzbVU7g,Directed,10573,,,1
UCRVDpYNhA8zvVmBee_ium3g,UCfa492nu0Ir7zEmqR9hQ18Q,Directed,10576,,,1
UCRVDpYNhA8zvVmBee_ium3g,UCAVFHtGR7-MJMKWX_genw_Q,Directed,10581,,,1
UCRVDpYNhA8zvVmBee_ium3g,UClvD6c1VI75QZWJjA_yiWhg,Directed,10598,,,1
UC4W-mNkE0HgQhRBVusdCpfw,UCRds47MZ1Ng7KCLseg2TkWA,Directed,11229,,,1
UC4W-mNkE0HgQhRBVusdCpfw,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,11239,,,1
UCWGhvr5OE7HbSKcAhmSnYNw,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,13860,,,1
UCWGhvr5OE7HbSKcAhmSnYNw,UCFWjEwhX6cSAKBQ28pufG3w,Directed,13865,,,1
UCWGhvr5OE7HbSKcAhmSnYNw,UCRds47MZ1Ng7KCLseg2TkWA,Directed,13874,,,1
UCelqGXobAzn0rfSp5hpDPfQ,UCwnKziETDbHJtx78nIkfYug,Directed,14024,,,1
UCelqGXobAzn0rfSp5hpDPfQ,UCRds47MZ1Ng7KCLseg2TkWA,Directed,14028,,,1
UCdgJ8gL9IigpRh8xl6ZZ0_w,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,14044,,,1
UCdgJ8gL9IigpRh8xl6ZZ0_w,UCwnKziETDbHJtx78nIkfYug,Directed,14064,,,1
UCdgJ8gL9IigpRh8xl6ZZ0_w,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,14065,,,1
UCZDOedq4gQwSnLA6QXlbHdw,UCwnKziETDbHJtx78nIkfYug,Directed,14468,,,1
UCthNYjMhjFNXmu-HbLudtvA,UCK09g6gYGMvU-0x1VCF1hgA,Directed,14823,,,1
UCMihusTAHd_vAKy0YRdTLXw,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,16074,,,1
UCMihusTAHd_vAKy0YRdTLXw,UC2C_jShtL725hvbm1arSV9w,Directed,16091,,,1
UC3BeH4UKQPzncObGXSgJL5w,UCK09g6gYGMvU-0x1VCF1hgA,Directed,16573,,,1
UC3BeH4UKQPzncObGXSgJL5w,UCwnKziETDbHJtx78nIkfYug,Directed,16574,,,1
UCv2_N-dyQiiKfiPNVvbtBJA,UCD8bmW4A7eYzHrW7sXwsqwQ,Directed,17602,,,1
UC5EnUTa6Q2IWCABp2xNi5UA,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,19217,,,1
UCBJUyJgNfSkY0TCvcURcZag,UCK09g6gYGMvU-0x1VCF1hgA,Directed,19624,,,1
UCZsP1tn03b-Av8hjiJJf32w,UCFWjEwhX6cSAKBQ28pufG3w,Directed,20372,,,1
UCOgMksNH7ztex_Xby9qXy4w,UClvD6c1VI75QZWJjA_yiWhg,Directed,20447,,,1
UC897G2LUhbx2oSF9h9qR7Sg,UCD8bmW4A7eYzHrW7sXwsqwQ,Directed,21160,,,1
UC897G2LUhbx2oSF9h9qR7Sg,UCwnKziETDbHJtx78nIkfYug,Directed,21170,,,1
UCtVIzeZ7tLf5jvF6OxHXEDQ,UC2C_jShtL725hvbm1arSV9w,Directed,21714,,,1
UCfNKAwjD99kAPEdbWDM8kLA,UClvD6c1VI75QZWJjA_yiWhg,Directed,22462,,,1
UC0E44au0qveSHeUoOGwlREA,UCwnKziETDbHJtx78nIkfYug,Directed,23365,,,1
UCuDQ9a-jJVe2b5gg1NsP0jQ,UCwnKziETDbHJtx78nIkfYug,Directed,23492,,,1
UCfBsQ_id6HelLXpWjfI4gFA,UClvD6c1VI75QZWJjA_yiWhg,Directed,24052,,,1
UCfBsQ_id6HelLXpWjfI4gFA,UCagTsJE66BwJkBfwU9izyaA,Directed,24053,,,1
UCfBsQ_id6HelLXpWjfI4gFA,UCD8bmW4A7eYzHrW7sXwsqwQ,Directed,24063,,,1
UCfBsQ_id6HelLXpWjfI4gFA,UCfa492nu0Ir7zEmqR9hQ18Q,Directed,24064,,,1
UCfBsQ_id6HelLXpWjfI4gFA,UC7w6MNvnZJ0DKU41wa7yA8w,Directed,24073,,,1
UCCDiY6EjVTrNiutQslK_7lw,UCwnKziETDbHJtx78nIkfYug,Directed,26429,,,1
UCCDiY6EjVTrNiutQslK_7lw,UClvD6c1VI75QZWJjA_yiWhg,Directed,26444,,,1
UCa5zQvJmCrVJQ7TfrDexflQ,UCCDiY6EjVTrNiutQslK_7lw,Directed,71019,,,1
UC04E6SnS3YeaOaCJSnNNSOg,UClvD6c1VI75QZWJjA_yiWhg,Directed,26524,,,1
UCmThYr8XvjXSqwx5X-E2wWw,UCK09g6gYGMvU-0x1VCF1hgA,Directed,26570,,,1
UCmThYr8XvjXSqwx5X-E2wWw,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,26571,,,1
UCY_mLaf2Adyu-rwFijUihBQ,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,26590,,,1
UCPpZ50cvt3KK7dMzp4cFDng,UC2C_jShtL725hvbm1arSV9w,Directed,26807,,,1
UCCfxRqU6rUDHnCsxy9FMUnw,UCgqYUzvsBr8_tU62_zI45mA,Directed,27229,,,1
UCCfxRqU6rUDHnCsxy9FMUnw,UClvD6c1VI75QZWJjA_yiWhg,Directed,27239,,,1
UCCfxRqU6rUDHnCsxy9FMUnw,UCwnKziETDbHJtx78nIkfYug,Directed,27253,,,1
UCgqYUzvsBr8_tU62_zI45mA,UCCfxRqU6rUDHnCsxy9FMUnw,Directed,33038,,,1
UChqlS8Dkcv1HMUR1vL_NH0Q,UCRds47MZ1Ng7KCLseg2TkWA,Directed,27646,,,1
UCnPfJ1MPsdCt-WRElEygC4Q,UClvD6c1VI75QZWJjA_yiWhg,Directed,27672,,,1
UCfk_OgQMBof-qng8JcrVKuw,UCFWjEwhX6cSAKBQ28pufG3w,Directed,30038,,,1
UCGrPYdPCEF-Va2x3jaMB1Xw,UCwnKziETDbHJtx78nIkfYug,Directed,30332,,,1
UCPIS6r28G-7nI1sXqC7FNmw,UCwnKziETDbHJtx78nIkfYug,Directed,31205,,,1
UChG7qVia7efMjvXWZ55nmfw,UCRds47MZ1Ng7KCLseg2TkWA,Directed,31949,,,1
UCNMUJJJmn89JHygdMd8zZTQ,UClvD6c1VI75QZWJjA_yiWhg,Directed,32571,,,1
UCqz55a-iS-t4wm-BCRFhIrg,UCFWjEwhX6cSAKBQ28pufG3w,Directed,32639,,,1
UCqz55a-iS-t4wm-BCRFhIrg,UClvD6c1VI75QZWJjA_yiWhg,Directed,32652,,,1
UCgqYUzvsBr8_tU62_zI45mA,UCwnKziETDbHJtx78nIkfYug,Directed,33050,,,1
UCn57ddYcpJ-G_rGjGBBdKjw,UCfa492nu0Ir7zEmqR9hQ18Q,Directed,33396,,,1
UCn57ddYcpJ-G_rGjGBBdKjw,UCRds47MZ1Ng7KCLseg2TkWA,Directed,33402,,,1
UCn57ddYcpJ-G_rGjGBBdKjw,UClvD6c1VI75QZWJjA_yiWhg,Directed,33405,,,1
UCn57ddYcpJ-G_rGjGBBdKjw,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,33420,,,1
UCNVgvt4-Ne_cnn1kSNKGR4A,UCFWjEwhX6cSAKBQ28pufG3w,Directed,33585,,,1
UCCR07Xby6w8AC795hXFa1Dg,UCFWjEwhX6cSAKBQ28pufG3w,Directed,33744,,,1
UCrlxZ06LJ4Jkfkj1D_vO5EA,UCwnKziETDbHJtx78nIkfYug,Directed,37341,,,1
UCiSwAwgtZtPyyZCYSQoIBdA,UCwnKziETDbHJtx78nIkfYug,Directed,37791,,,1
UCiSwAwgtZtPyyZCYSQoIBdA,UCK09g6gYGMvU-0x1VCF1hgA,Directed,37795,,,1
UC49xYTS6r9bDAyJy9T0UEeg,UCwnKziETDbHJtx78nIkfYug,Directed,38263,,,1
UCqlIbZ93QfuWbyhIuNwLQPA,UClvD6c1VI75QZWJjA_yiWhg,Directed,38407,,,1
UCOZoYc_6JH89xXzrfPdd-1A,UCwnKziETDbHJtx78nIkfYug,Directed,38694,,,1
UC5PSRs7JJqFMdy81LFS6JBw,UClvD6c1VI75QZWJjA_yiWhg,Directed,38731,,,1
UCeRASiVXda05jz0I05xt1Tw,UCK09g6gYGMvU-0x1VCF1hgA,Directed,39008,,,1
UCQkF3sOfwOzPs0M5yLc0x5Q,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,39150,,,1
UCHNfxhCa28QImlfvd1igvig,UClvD6c1VI75QZWJjA_yiWhg,Directed,43016,,,1
UC2Jdm9UcHeX60OYHvXEer-w,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,43228,,,1
UC5t7RGgV32hQgnr-DnV2zNg,UClvD6c1VI75QZWJjA_yiWhg,Directed,43833,,,1
UCmLqckDbQbNi8ytgtlUi9uQ,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,44533,,,1
UCmLqckDbQbNi8ytgtlUi9uQ,UCRds47MZ1Ng7KCLseg2TkWA,Directed,44558,,,1
UCJ29vixKPSlgjdJLVZDg_mA,UCK09g6gYGMvU-0x1VCF1hgA,Directed,45032,,,1
UCyt6ZazPQCr1w7uuevOQJ1w,UCD8bmW4A7eYzHrW7sXwsqwQ,Directed,45251,,,1
UCVqVpmi5TBN3FOwZJVSnmyg,UCwnKziETDbHJtx78nIkfYug,Directed,46123,,,1
UCNhvBEeOjL36aJ3-EAP1nWg,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,46886,,,1
UCb226CJ6zTSEYyY_c30zhFg,UCwnKziETDbHJtx78nIkfYug,Directed,47317,,,1
UCG3_FK6sqAG4DHWkLTADXkg,UCwnKziETDbHJtx78nIkfYug,Directed,47923,,,1
UCG3_FK6sqAG4DHWkLTADXkg,UClvD6c1VI75QZWJjA_yiWhg,Directed,47929,,,1
UCNOvflWYdU0MJBykCiDxGbw,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,47988,,,1
UCRtjzoYKEpgO0Ur3MHowPdA,UCD8bmW4A7eYzHrW7sXwsqwQ,Directed,48549,,,1
UCM1ZNcsj2YQxJKZdslgFScA,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,48759,,,1
UCAYcH2EZRVBPGcJCiE4nztA,UClvD6c1VI75QZWJjA_yiWhg,Directed,48857,,,1
UCAYcH2EZRVBPGcJCiE4nztA,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,48869,,,1
UCqec0kOaROB007cEpbaLTYg,UCwnKziETDbHJtx78nIkfYug,Directed,48933,,,1
UCqec0kOaROB007cEpbaLTYg,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,48940,,,1
UCGm2ERwu1QgXWRW5HvYuERg,UCRds47MZ1Ng7KCLseg2TkWA,Directed,49081,,,1
UCmgz5S434m6grjihzlSToPQ,UC2C_jShtL725hvbm1arSV9w,Directed,49581,,,1
UCEyPYJY7iL73Jqc7BTgc1Dg,UClvD6c1VI75QZWJjA_yiWhg,Directed,50413,,,1
UCEyPYJY7iL73Jqc7BTgc1Dg,UCwnKziETDbHJtx78nIkfYug,Directed,50427,,,1
UCZLbvNyB3_NKI9cGJUhC8Pg,UCK09g6gYGMvU-0x1VCF1hgA,Directed,50672,,,1
UCZLbvNyB3_NKI9cGJUhC8Pg,UC2C_jShtL725hvbm1arSV9w,Directed,50692,,,1
UCZLbvNyB3_NKI9cGJUhC8Pg,UCeNbszrEiBC5Nv53Cr5UViw,Directed,50709,,,1
UCifwWXePTd1r8gqCHgrcGJw,UCK09g6gYGMvU-0x1VCF1hgA,Directed,50898,,,1
UCbdkc6x2PwmBI4GiJ2-quXw,UCFWjEwhX6cSAKBQ28pufG3w,Directed,52699,,,1
UCi6yEmkSAUEELaOiWcsj-mw,UClvD6c1VI75QZWJjA_yiWhg,Directed,53626,,,1
UCoTzlJ27FbJbYtzkn_cVp9A,UClvD6c1VI75QZWJjA_yiWhg,Directed,53792,,,1
UCcYX9pvnAUeFQSkdAy9zZJA,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,53891,,,1
UCcYX9pvnAUeFQSkdAy9zZJA,UCFWjEwhX6cSAKBQ28pufG3w,Directed,53909,,,1
UCAzR6r31ES1_5p1VHfMpKTw,UCeNbszrEiBC5Nv53Cr5UViw,Directed,53999,,,1
UC-OxiYeRaESUK3cjtf35N5A,UClvD6c1VI75QZWJjA_yiWhg,Directed,55001,,,1
UC9ugTvrBt43LQkM2OolvcHg,UC2C_jShtL725hvbm1arSV9w,Directed,55288,,,1
UCUZobs9QZaKGmES6zODvo8A,UClvD6c1VI75QZWJjA_yiWhg,Directed,55826,,,1
UCXPF5AYb9FyDgrg2MOoEsvQ,UCK09g6gYGMvU-0x1VCF1hgA,Directed,56133,,,1
UCLX_EOZN70MfRqO0g9GFwjg,UC7w6MNvnZJ0DKU41wa7yA8w,Directed,56268,,,1
UCIOkTPW1LIbUj-hrCE81AjA,UC7w6MNvnZJ0DKU41wa7yA8w,Directed,56353,,,1
UCjG5DURCFdfdpuGK_oER2UQ,UClvD6c1VI75QZWJjA_yiWhg,Directed,56393,,,1
UCVdBvGnmfgmRJlU1SQLlDMw,UCK09g6gYGMvU-0x1VCF1hgA,Directed,57194,,,1
UCd7m1Kjp1YAvggXse8is_hw,UCFWjEwhX6cSAKBQ28pufG3w,Directed,57232,,,1
UCd7m1Kjp1YAvggXse8is_hw,UCwnKziETDbHJtx78nIkfYug,Directed,57254,,,1
UCd7m1Kjp1YAvggXse8is_hw,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,57258,,,1
UCK6fYayqlLHU5OXaoPaQrug,UCRds47MZ1Ng7KCLseg2TkWA,Directed,57362,,,1
UC0edtCnSIOXT_HuP07cdivg,UCwnKziETDbHJtx78nIkfYug,Directed,57882,,,1
UCywaJYYCNS1ujGwdCQMRrpQ,UCFWjEwhX6cSAKBQ28pufG3w,Directed,58652,,,1
UCywaJYYCNS1ujGwdCQMRrpQ,UC2C_jShtL725hvbm1arSV9w,Directed,58655,,,1
UCTiK7y8nz_bx4ho5Cw7cfkQ,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,58701,,,1
UC8cRXCK2QEkwBEMsCLAE7XQ,UCRds47MZ1Ng7KCLseg2TkWA,Directed,58995,,,1
UCsHdwUKr4yLOs_TjI9vVIyw,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,59057,,,1
UCDjOWxepDsatTJYHVpxHnUg,UCFWjEwhX6cSAKBQ28pufG3w,Directed,59124,,,1
UC2LYsa3UvQwOfE_UaeR97IQ,UCD8bmW4A7eYzHrW7sXwsqwQ,Directed,59678,,,1
UC2LYsa3UvQwOfE_UaeR97IQ,UCRds47MZ1Ng7KCLseg2TkWA,Directed,59683,,,1
UCUQ2W76VPtaPfSnZ77T2kFg,UCwnKziETDbHJtx78nIkfYug,Directed,60698,,,1
UCUQ2W76VPtaPfSnZ77T2kFg,UCFWjEwhX6cSAKBQ28pufG3w,Directed,60700,,,1
UCMUVFCauiapAD6hm4Dgq1CA,UCeNbszrEiBC5Nv53Cr5UViw,Directed,60981,,,1
UCozuThWWWV3ssHwEI1pleNA,UClvD6c1VI75QZWJjA_yiWhg,Directed,61957,,,1
UCUX2LLWHkFZrBQ9gA4WmbZw,UC7w6MNvnZJ0DKU41wa7yA8w,Directed,61973,,,1
UCp1uJOsfg3fq4hNGqYAtBWA,UCwnKziETDbHJtx78nIkfYug,Directed,61991,,,1
UCH8V61RkrF99YrbIbx9pBKQ,UCwnKziETDbHJtx78nIkfYug,Directed,62101,,,1
UCOKUBJ50Wkv98LQmfXBGjEA,UCwnKziETDbHJtx78nIkfYug,Directed,62397,,,1
UCUV4w40IOZb-JZLIZ3pT0Zg,UCagTsJE66BwJkBfwU9izyaA,Directed,62759,,,1
UCFhQtxFueClVufRtsFVBIsQ,UCwnKziETDbHJtx78nIkfYug,Directed,63655,,,1
UCYftZQanGxCv8KM0BO_2uxw,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,64085,,,1
UCILrsx8bdSD34FvSIC_qoCA,UCQGqX5Ndpm4snE0NTjyOJnA,Directed,64548,,,1
UCILrsx8bdSD34FvSIC_qoCA,UCRds47MZ1Ng7KCLseg2TkWA,Directed,64563,,,1
UCaJeoI6oepFnyQkP0h2ngHg,UCK09g6gYGMvU-0x1VCF1hgA,Directed,64668,,,1
UCaJeoI6oepFnyQkP0h2ngHg,UCwnKziETDbHJtx78nIkfYug,Directed,64696,,,1
UCJksBWCD1c2mLrLS2TXj14w,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,65125,,,1
UCoYlSBiJ6EPXHCrOUJ5HTYw,UCFWjEwhX6cSAKBQ28pufG3w,Directed,65453,,,1
UCvmve6qe2qpnho989Qw-4lg,UClvD6c1VI75QZWJjA_yiWhg,Directed,67252,,,1
UCGDVgNdHINX7X3ZaiL1p1yw,UCLoNQH9RCndfUGOb2f7E1Ew,Directed,67277,,,1
